lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
8.13,77.3,28.0,haze,75,78,0.5,manavalakurichi,IN
65.99,57.53,1.82,light rain,100,97,7.45,usinsk,RU
-8.47,140.33,29.6,scattered clouds,32,60,3.37,merauke,ID
63.44,-20.27,6.16,overcast clouds,100,68,14.56,vestmannaeyjar,IS
17.02,54.09,21.0,clear sky,0,60,1.5,salalah,OM
-38.55,-58.74,10.56,scattered clouds,26,78,1.34,necochea,AR
37.1,-113.58,19.67,clear sky,1,22,2.07,saint george,US
27.98,-114.06,23.92,overcast clouds,100,55,5.98,guerrero negro,MX
-23.4,21.72,20.32,clear sky,8,31,3.77,manyana,BW
-22.67,167.48,24.52,clear sky,7,84,3.38,vao,NC
-46.13,167.68,13.43,clear sky,0,54,4.11,tuatapere,NZ
-17.34,-44.94,21.82,clear sky,6,70,1.13,pirapora,BR
22.68,-3.98,24.1,overcast clouds,88,21,1.89,taoudenni,ML
-15.77,128.73,38.0,few clouds,24,33,4.1,kununurra,AU
69.7,170.31,-2.84,light snow,100,96,13.24,pevek,RU
55.82,37.32,6.04,light rain,90,93,7.0,krasnogorsk,RU
28.02,-97.52,20.36,clear sky,1,72,3.1,san patricio,US
-15.62,-46.42,21.95,clear sky,0,69,1.07,buritis,BR
40.48,25.47,16.0,few clouds,20,72,10.3,kamariotissa,GR
22.29,114.16,24.05,clear sky,0,64,2.99,victoria,HK
60.4,-1.35,11.0,overcast clouds,100,76,15.9,brae,GB
-6.88,112.21,30.35,overcast clouds,91,62,2.25,labuhan,ID
6.04,80.22,27.8,overcast clouds,93,77,3.35,galle,LK
-35.17,173.17,20.47,overcast clouds,93,73,3.65,ahipara,NZ
2.82,-60.67,28.0,clear sky,0,74,3.1,boa vista,BR
-19.8,-174.35,27.0,scattered clouds,40,61,6.2,pangai,TO
37.14,50.29,16.0,clear sky,0,87,1.0,rudsar,IR
30.66,117.48,19.25,broken clouds,81,58,0.55,chizhou,CN
43.01,11.17,9.67,few clouds,20,87,3.6,roccastrada,IT
45.17,10.78,10.9,clear sky,0,94,0.45,mantua,IT
26.54,-77.06,25.74,overcast clouds,100,80,11.07,marsh harbour,BS
-20.41,57.7,23.0,shower rain,75,78,4.1,mahebourg,MU
7.38,8.57,23.72,overcast clouds,91,75,1.1,yaan,NG
-9.01,-35.22,25.01,scattered clouds,29,86,3.37,maragogi,BR
-22.25,-50.7,19.38,clear sky,0,59,4.02,quata,BR
46.49,135.88,3.32,overcast clouds,99,76,2.17,vostok,RU
-28.77,114.6,32.0,clear sky,0,25,9.8,geraldton,AU
-17.73,-149.15,23.0,shower rain,75,94,4.1,tautira,PF
-16.48,-151.75,26.6,light rain,44,80,7.85,faanui,PF
13.81,44.63,17.21,clear sky,4,54,0.57,bajah,YE
45.02,-93.22,13.02,clear sky,1,50,2.6,saint anthony,US
62.14,117.63,-16.08,scattered clouds,28,89,1.94,suntar,RU
28.66,-17.92,16.51,light rain,75,82,3.1,los llanos de aridane,ES
8.0,124.29,27.78,overcast clouds,91,82,1.79,marawi,PH
-29.68,-53.81,16.0,clear sky,0,82,4.1,santa maria,BR
4.93,-52.33,24.0,clear sky,0,100,1.0,cayenne,GF
29.96,122.3,20.53,clear sky,6,82,3.99,shenjiamen,CN
4.32,17.47,20.39,overcast clouds,100,98,1.39,boda,CF
20.5,-10.07,27.69,scattered clouds,48,19,4.09,adrar,MR
14.31,121.11,31.47,broken clouds,75,66,2.6,santa rosa,PH
41.81,126.91,7.83,light rain,100,86,1.7,linjiang,CN
-22.96,14.51,14.46,broken clouds,82,93,1.5,walvis bay,NA
18.49,-66.83,22.83,scattered clouds,39,88,4.83,hatillo,PR
7.42,81.82,29.21,overcast clouds,95,67,2.39,kalmunai,LK
-33.02,27.91,20.4,broken clouds,62,79,3.32,east london,ZA
25.53,-103.25,23.0,clear sky,5,25,3.26,matamoros,MX
-3.33,128.92,28.18,broken clouds,82,76,0.73,amahai,ID
65.61,-37.64,-1.0,light snow,94,74,4.6,tasiilaq,GL
39.89,-0.09,16.76,broken clouds,75,82,3.1,burriana,ES
22.57,59.53,24.57,clear sky,0,52,3.6,sur,OM
18.08,75.43,23.42,clear sky,0,45,2.96,kurduvadi,IN
49.82,36.73,5.78,broken clouds,75,81,4.0,malynivka,UA
64.9,45.76,3.16,overcast clouds,100,97,2.65,leshukonskoye,RU
67.45,153.68,-5.89,light snow,100,97,9.54,srednekolymsk,RU
20.88,-156.68,28.42,scattered clouds,40,38,2.1,lahaina,US
48.98,12.2,-0.92,clear sky,1,86,1.2,neutraubling,DE
